Index,Vis,ReportedPercent
344,DonutChart1,21.0
345,DonutChart1,70.0
346,StackedBarChart6,70.0
347,StackedBarChart6,60.0
348,StackedBarChart6,50.0
349,StackedBarChart6,60.0
350,StackedBarChart6,60.0
351,StackedBarChart6,50.0
352,StackedBarChart6,40.0
353,StackedBarChart6,70.0
354,StackedBarChart6,75.0
355,StackedBarChart6,2.0
356,StackedBarChart10,60.0
357,StackedBarChart10,20.0
358,StackedBarChart10,30.0
359,StackedBarChart10,80.0
360,StackedBarChart10,70.0
361,StackedBarChart10,80.0
362,StackedBarChart10,67.0
363,StackedBarChart10,89.0
364,StackedBarChart10,65.0
365,StackedBarChart10,70.0
366,StackedBarChart10,60.0
367,StackedBarChart10,90.0
368,StackedBarChart10,20.0
369,StackedBarChart10,26.0
370,StackedBarChart10,87.0
371,StackedBarChart10,80.0
372,StackedBarChart10,69.0
373,TreeMap10,50.0
374,TreeMap10,50.0
375,TreeMap10,25.0
376,TreeMap10,20.0
377,TreeMap10,40.0
378,TreeMap10,66.0
379,TreeMap10,14.0
380,TreeMap10,90.0
381,TreeMap10,40.0
382,TreeMap10,75.0
383,TreeMap10,4.0
384,TreeMap10,23.0
385,PieChart2,20.0
386,PieChart2,90.0
387,PieChart2,80.0
388,PieChart2,90.0
389,PieChart2,80.0
390,PieChart2,50.0
391,PieChart2,90.0
392,PieChart2,50.0
393,PieChart2,80.0
394,PieChart6,50.0
395,PieChart6,90.0
396,PieChart6,100.0
397,PieChart6,78.0
398,PieChart6,90.0
399,PieChart6,85.0
400,PieChart6,20.0
401,PieChart6,100.0
402,PieChart10,90.0
403,PieChart10,70.0
404,PieChart10,85.0
405,PieChart10,90.0
406,PieChart10,75.0
407,PieChart10,89.0
408,PieChart10,80.0
409,PieChart10,90.0
410,PieChart10,70.0
411,PieChart10,90.0
412,PieChart10,75.0
413,PieChart10,80.0
414,PieChart10,99.0
415,PieChart10,80.0
416,DonutChart12,20.0
417,DonutChart12,85.0
418,DonutChart12,60.0
419,DonutChart12,45.0
420,DonutChart12,40.0
421,DonutChart12,66.0
422,DonutChart12,55.0
423,DonutChart12,60.0
424,DonutChart12,37.0
425,DonutChart12,60.0
426,DonutChart10,20.0
427,DonutChart10,80.0
428,DonutChart10,70.0
429,DonutChart10,75.0
430,DonutChart10,45.0
431,DonutChart10,80.0
432,DonutChart10,70.0
433,DonutChart10,50.0
434,DonutChart10,20.0
435,DonutChart10,80.0
436,DonutChart10,70.0
