ChartType,Value
TreeMap10,40.0
TreeMap10,75.0
TreeMap10,4.0
TreeMap10,23.0
PieChart2,20.0
PieChart2,90.0
PieChart2,80.0
PieChart2,90.0
PieChart2,80.0
PieChart2,50.0
PieChart2,90.0
PieChart2,50.0
PieChart2,80.0
PieChart6,50.0
PieChart6,90.0
PieChart6,100.0
PieChart6,78.0
PieChart6,90.0
PieChart6,85.0
PieChart6,20.0
PieChart6,100.0
PieChart10,90.0
PieChart10,70.0
PieChart10,85.0
PieChart10,90.0
PieChart10,75.0
PieChart10,89.0
PieChart10,80.0
PieChart10,90.0
PieChart10,70.0
PieChart10,90.0
PieChart10,75.0
PieChart10,80.0
PieChart10,99.0
PieChart10,80.0
DonutChart12,20.0
DonutChart12,85.0
DonutChart12,60.0
DonutChart12,45.0
DonutChart12,40.0
DonutChart12,66.0
DonutChart12,55.0
DonutChart12,60.0
DonutChart12,37.0
DonutChart12,60.0
DonutChart10,20.0
DonutChart10,80.0
DonutChart10,70.0
DonutChart10,75.0
DonutChart10,45.0
DonutChart10,80.0
DonutChart10,70.0
DonutChart10,50.0
DonutChart10,20.0
DonutChart10,80.0
DonutChart10,70.0
StackedBarChart5,10.0
StackedBarChart5,40.0
StackedBarChart5,80.0
StackedBarChart5,50.0
StackedBarChart5,40.0
StackedBarChart5,78.0
StackedBarChart5,60.0
StackedBarChart5,50.0
StackedBarChart5,50.0
StackedBarChart5,40.0
StackedBarChart5,33.0
TreeMap2,40.0
TreeMap2,50.0
TreeMap2,30.0
TreeMap2,25.0
TreeMap2,50.0
TreeMap2,50.0
TreeMap2,50.0
TreeMap2,70.0
TreeMap2,30.0
TreeMap2,40.0
TreeMap2,30.0
TreeMap2,30.0
TreeMap2,25.0
TreeMap2,10.0
TreeMap2,56.0
TreeMap2,50.0
StackedBarChart7,15.0
StackedBarChart7,70.0
StackedBarChart7,70.0
StackedBarChart7,80.0
StackedBarChart7,80.0
StackedBarChart7,80.0
StackedBarChart7,80.0
StackedBarChart7,10.0
StackedBarChart7,50.0
StackedBarChart7,50.0
StackedBarChart7,60.0
DonutChart5,80.0
DonutChart5,75.0
DonutChart5,90.0
DonutChart5,50.0
DonutChart5,45.0
DonutChart5,30.0
DonutChart5,70.0
DonutChart5,100.0
DonutChart5,80.0
DonutChart4,50.0
DonutChart4,40.0
DonutChart4,50.0
DonutChart4,85.0
DonutChart4,46.0
DonutChart4,50.0
DonutChart4,50.0
DonutChart2,100.0
DonutChart2,60.0
DonutChart2,80.0
DonutChart2,55.0
DonutChart2,95.0
DonutChart2,75.0
DonutChart2,23.0
DonutChart2,80.0
DonutChart2,80.0
DonutChart2,90.0
DonutChart2,70.0
DonutChart2,20.0
DonutChart2,85.0
DonutChart2,80.0
StackedBarChart3,50.0
StackedBarChart3,30.0
StackedBarChart3,60.0
StackedBarChart3,10.0
StackedBarChart3,89.0
StackedBarChart3,20.0
StackedBarChart3,30.0
StackedBarChart3,50.0
StackedBarChart3,86.0
StackedBarChart3,40.0
TreeMap6,40.0
TreeMap6,70.0
TreeMap6,55.0
TreeMap6,80.0
TreeMap6,45.0
TreeMap6,89.0
TreeMap6,60.0
TreeMap6,70.0
TreeMap6,80.0
TreeMap6,40.0
TreeMap6,50.0
TreeMap6,80.0
TreeMap6,80.0
TreeMap6,50.0
DonutChart11,33.0
DonutChart11,40.0
DonutChart11,40.0
DonutChart11,50.0
DonutChart11,35.0
DonutChart11,33.0
DonutChart11,30.0
DonutChart11,33.0
DonutChart11,3.0
DonutChart11,40.0
DonutChart8,100.0
DonutChart8,90.0
DonutChart8,60.0
DonutChart8,30.0
DonutChart8,80.0
DonutChart8,95.0
DonutChart8,23.0
DonutChart8,90.0
DonutChart8,80.0
StackedBarChart11,50.0
StackedBarChart11,50.0
StackedBarChart11,50.0
StackedBarChart11,15.0
StackedBarChart11,50.0
StackedBarChart11,58.0
StackedBarChart11,50.0
PieChart3,90.0
PieChart3,35.0
PieChart3,60.0
PieChart3,33.0
PieChart3,70.0
PieChart3,30.0
PieChart3,37.0
TreeMap3,35.0
TreeMap3,78.0
TreeMap3,25.0
TreeMap3,35.0
TreeMap3,25.0
TreeMap3,30.0
TreeMap3,89.0
