Index,Vis,ReportedPercent,TruePercent,Error
293,StackedBarChart8,20.0,33,3.71
294,StackedBarChart8,80.0,33,5.56
295,StackedBarChart8,33.0,33,0.0
296,StackedBarChart8,56.0,33,4.53
297,PieChart8,95.0,90,2.36
298,PieChart8,35.0,90,5.78
299,PieChart8,90.0,90,0.0
300,PieChart8,50.0,90,5.33
301,PieChart8,100.0,90,3.34
302,PieChart8,55.0,90,5.13
303,PieChart8,90.0,90,0.0
304,PieChart8,89.0,90,0.17
305,PieChart8,90.0,90,0.0
306,PieChart8,45.0,90,5.5
307,PieChart8,85.0,90,2.36
308,PieChart8,100.0,90,3.34
309,PieChart8,90.0,90,0.0
310,PieChart8,80.0,90,3.34
311,PieChart8,90.0,90,0.0
312,TreeMap8,70.0,75,2.36
313,TreeMap8,80.0,75,2.36
314,TreeMap8,50.0,75,4.65
315,TreeMap8,80.0,75,2.36
316,TreeMap8,50.0,75,4.65
317,TreeMap8,50.0,75,4.65
318,TreeMap8,70.0,75,2.36
319,TreeMap8,80.0,75,2.36
320,TreeMap8,45.0,75,4.91
321,TreeMap8,90.0,75,3.92
322,TreeMap8,80.0,75,2.36
323,StackedBarChart12,80.0,83,1.64
324,StackedBarChart12,75.0,83,3.02
325,StackedBarChart12,90.0,83,2.83
326,StackedBarChart12,90.0,83,2.83
327,StackedBarChart12,75.0,83,3.02
328,StackedBarChart12,90.0,83,2.83
329,StackedBarChart12,12.0,83,6.15
330,StackedBarChart12,90.0,83,2.83
331,StackedBarChart12,80.0,83,1.64
332,StackedBarChart12,40.0,83,5.43
333,StackedBarChart12,90.0,83,2.83
334,StackedBarChart12,90.0,83,2.83
335,StackedBarChart12,74.0,83,3.19
336,StackedBarChart12,80.0,83,1.64
337,DonutChart1,55.0,67,3.6
338,DonutChart1,70.0,67,1.64
339,DonutChart1,60.0,67,2.83
340,DonutChart1,80.0,67,3.71
341,DonutChart1,37.0,67,4.91
342,DonutChart1,60.0,67,2.83
343,DonutChart1,20.0,67,5.56
344,DonutChart1,21.0,67,5.53
345,DonutChart1,70.0,67,1.64
346,StackedBarChart6,70.0,67,1.64
347,StackedBarChart6,60.0,67,2.83
348,StackedBarChart6,50.0,67,4.1
349,StackedBarChart6,60.0,67,2.83
350,StackedBarChart6,60.0,67,2.83
351,StackedBarChart6,50.0,67,4.1
352,StackedBarChart6,40.0,67,4.76
353,StackedBarChart6,70.0,67,1.64
354,StackedBarChart6,75.0,67,3.02
355,StackedBarChart6,2.0,67,6.03
356,StackedBarChart10,60.0,78,4.18
357,StackedBarChart10,20.0,78,5.86
358,StackedBarChart10,30.0,78,5.59
359,StackedBarChart10,80.0,78,1.09
360,StackedBarChart10,70.0,78,3.02
361,StackedBarChart10,80.0,78,1.09
362,StackedBarChart10,67.0,78,3.48
363,StackedBarChart10,89.0,78,3.48
364,StackedBarChart10,65.0,78,3.71
365,StackedBarChart10,70.0,78,3.02
366,StackedBarChart10,60.0,78,4.18
367,StackedBarChart10,90.0,78,3.6
368,StackedBarChart10,20.0,78,5.86
369,StackedBarChart10,26.0,78,5.7
370,StackedBarChart10,87.0,78,3.19
371,StackedBarChart10,80.0,78,1.09
372,StackedBarChart10,69.0,78,3.19
373,TreeMap10,50.0,50,0.0
374,TreeMap10,50.0,50,0.0
375,TreeMap10,25.0,50,4.65
376,TreeMap10,20.0,50,4.91
377,TreeMap10,40.0,50,3.34
378,TreeMap10,66.0,50,4.01
379,TreeMap10,14.0,50,5.17
380,TreeMap10,90.0,50,5.33
381,TreeMap10,40.0,50,3.34
382,TreeMap10,75.0,50,4.65
383,TreeMap10,4.0,50,5.53
384,TreeMap10,23.0,50,4.76
385,PieChart2,20.0,83,5.98
386,PieChart2,90.0,83,2.83
387,PieChart2,80.0,83,1.64
388,PieChart2,90.0,83,2.83
389,PieChart2,80.0,83,1.64
390,PieChart2,50.0,83,5.05
391,PieChart2,90.0,83,2.83
392,PieChart2,50.0,83,5.05
393,PieChart2,80.0,83,1.64
394,PieChart6,50.0,100,5.65
395,PieChart6,90.0,100,3.34
396,PieChart6,100.0,100,0.0
397,PieChart6,78.0,100,4.47
398,PieChart6,90.0,100,3.34
399,PieChart6,85.0,100,3.92
400,PieChart6,20.0,100,6.32
401,PieChart6,100.0,100,0.0
402,PieChart10,90.0,75,3.92
403,PieChart10,70.0,75,2.36
404,PieChart10,85.0,75,3.34
405,PieChart10,90.0,75,3.92
406,PieChart10,75.0,75,0.0
407,PieChart10,89.0,75,3.82
408,PieChart10,80.0,75,2.36
409,PieChart10,90.0,75,3.92
410,PieChart10,70.0,75,2.36
411,PieChart10,90.0,75,3.92
412,PieChart10,75.0,75,0.0
413,PieChart10,80.0,75,2.36
414,PieChart10,99.0,75,4.59
415,PieChart10,80.0,75,2.36
416,DonutChart12,20.0,57,5.21
417,DonutChart12,85.0,57,4.81
418,DonutChart12,60.0,57,1.64
419,DonutChart12,45.0,57,3.6
420,DonutChart12,40.0,57,4.1
421,DonutChart12,66.0,57,3.19
422,DonutChart12,55.0,57,1.09
423,DonutChart12,60.0,57,1.64
424,DonutChart12,37.0,57,4.33
425,DonutChart12,60.0,57,1.64
426,DonutChart10,20.0,75,5.78
